epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,533.913,0.67419,0.84583,1,0.39565,0.000332381,0.000332381,0.0670943
2,923.027,0.42581,0.89333,1,0.28788,0.000639352,0.000639352,0.0340679
3,1197,0.33613,0.92167,1,0.23329,0.000919923,0.000919923,0.00101516
4,1486.32,0.30652,0.92,1,0.2245,0.0008812,0.0008812,0.0008812
5,1774.56,0.27856,0.92167,1,0.20212,0.0008416,0.0008416,0.0008416
6,2076.17,0.23411,0.93917,1,0.18188,0.000802,0.000802,0.000802
7,2359.27,0.21081,0.94417,1,0.15547,0.0007624,0.0007624,0.0007624
8,2644.68,0.18545,0.92417,1,0.21648,0.0007228,0.0007228,0.0007228
9,2941.57,0.17601,0.945,1,0.15763,0.0006832,0.0006832,0.0006832
10,3229.62,0.17157,0.945,1,0.14936,0.0006436,0.0006436,0.0006436
11,3664.27,0.15467,0.94,1,0.17669,0.000604,0.000604,0.000604
12,4199.81,0.14012,0.94417,1,0.18081,0.0005644,0.0005644,0.0005644
13,5259.11,0.13002,0.955,1,0.16445,0.0005248,0.0005248,0.0005248
14,5871,0.12468,0.9525,1,0.15584,0.0004852,0.0004852,0.0004852
15,9519.28,0.12155,0.95083,1,0.16481,0.0004456,0.0004456,0.0004456
16,10100.6,0.10908,0.9475,1,0.16852,0.000406,0.000406,0.000406
17,10625.3,0.09985,0.955,1,0.16441,0.0003664,0.0003664,0.0003664
18,11159,0.09412,0.9525,1,0.15273,0.0003268,0.0003268,0.0003268
19,11840.5,0.09,0.95083,1,0.14438,0.0002872,0.0002872,0.0002872
20,12411.5,0.07809,0.95583,1,0.14403,0.0002476,0.0002476,0.0002476
21,12953.8,0.08342,0.96167,1,0.14418,0.000208,0.000208,0.000208
22,13439.4,0.06759,0.95583,1,0.15585,0.0001684,0.0001684,0.0001684
23,14070.5,0.06927,0.955,1,0.14402,0.0001288,0.0001288,0.0001288
24,14708,0.06795,0.95583,1,0.14631,8.92e-05,8.92e-05,8.92e-05
25,15281.7,0.05968,0.95833,1,0.14228,4.96e-05,4.96e-05,4.96e-05
