epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1250.38,0.57631,0.89,1,0.30709,0.000265905,0.000265905,0.0670278
2,2466.17,0.33514,0.93083,1,0.18159,0.000519669,0.000519669,0.0339482
3,3881.67,0.29423,0.935,1,0.20285,0.000723681,0.000723681,0.000818919
4,4982.49,0.23223,0.92667,1,0.22544,0.000636763,0.000636763,0.000636763
5,6091.74,0.17851,0.95333,1,0.12803,0.000526371,0.000526371,0.000526371
6,7129.49,0.14099,0.9575,1,0.11763,0.000404,0.000404,0.000404
7,8099.18,0.10977,0.96,1,0.11785,0.000281629,0.000281629,0.000281629
8,9243.77,0.09022,0.96083,1,0.12353,0.000171237,0.000171237,0.000171237
9,10718.3,0.07899,0.96333,1,0.10722,8.36293e-05,8.36293e-05,8.36293e-05
10,32474.3,0.07406,0.96417,1,0.1074,2.73816e-05,2.73816e-05,2.73816e-05
